"ID","فرع البنك","نوع التمويل","تصنيف التمويل","قطاع العميل","قيمة التمويل","قيمة القسط","تاريخ الصرف","جنس العميل","عمرالعميل","الحالة الاجتماعية","احتياجات خاصة","عدد افراد الاسرة","قرض ادخاري","قيمة الدخل"
"25.0","المدينة","إجتماعي","زواج","موظف شركة حكومية","60000.0","< 1000","2019/03","MALE",">= 30","متزوج","لا",">= 02","لا",">= 5000"
"26.0","تبوك","إجتماعي","أسرة","موظف قطاع خاص","60000.0",">= 1000","2019/02","MALE",">= 30","متزوج","لا",">= 02","لا","< 5000"
"27.0","تبوك","إجتماعي","أسرة","موظف قطاع خاص","60000.0",">= 1000","2019/02","MALE",">= 30","متزوج","لا",">= 02","لا",">= 7500"
"28.0","الرياض","إجتماعي","أسرة","NULL","48000.0","< 1000","2019/01","MALE",">= 40","متزوج","لا",">= 05","لا",">= 7500"
"29.0","الرياض","إجتماعي","أسرة","NULL","48000.0","< 1000","2019/01","MALE",">= 40","متزوج","لا",">= 05","لا","< 5000"
"30.0","المدينة","إجتماعي","أسرة","موظف حكومي","42000.0","< 1000","2019/03","MALE",">= 30","متزوج","لا",">= 05","لا",">= 10000"
"31.0","المدينة","إجتماعي","أسرة","متقاعد حكومي","60000.0","< 1000","2019/03","MALE",">= 40","متزوج","لا",">= 05","لا",">= 7500"
"32.0","المدينة","إجتماعي","أسرة","متقاعد حكومي","60000.0","< 1000","2019/03","MALE",">= 40","متزوج","لا",">= 05","لا",">= 7500"
"33.0","تبوك","إجتماعي","ترميم","NULL","60000.0",">= 1000","2019/02","FEMALE",">= 40","متزوج","لا",">= 10","لا","< 5000"
"34.0","تبوك","إجتماعي","ترميم","NULL","60000.0",">= 1000","2019/02","FEMALE",">= 40","متزوج","لا",">= 10","لا","< 5000"
"35.0","الرياض","إجتماعي","أسرة","NULL","60000.0","< 1000","2019/01","FEMALE",">= 30","مطلق","لا",">= 02","لا","< 5000"
"36.0","الرياض","إجتماعي","أسرة","NULL","60000.0","< 1000","2019/01","FEMALE",">= 30","مطلق","لا",">= 02","لا",">= 10000"
"37.0","المدينة","إجتماعي","زواج","موظف حكومي","60000.0",">= 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا",">= 5000"
"38.0","المدينة","إجتماعي","زواج","موظف شركة حكومية","60000.0",">= 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","نعم",">= 7500"
"39.0","الرياض","إجتماعي","زواج","موظف حكومي","60000.0",">= 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا",">= 10000"
"40.0","جدة","إجتماعي","أسرة","موظف حكومي","60000.0",">= 1000","2019/02","MALE",">= 30","متزوج","لا",">= 02","لا",">= 5000"
"41.0","الخرج","إجتماعي","زواج","موظف حكومي","60000.0",">= 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا",">= 5000"
"42.0","جدة","إجتماعي","أسرة","موظف قطاع خاص","60000.0",">= 1000","2019/03","MALE",">= 30","متزوج","لا",">= 02","لا","< 5000"
"43.0","جدة","إجتماعي","أسرة","موظف قطاع خاص","60000.0",">= 1000","2019/03","MALE",">= 30","متزوج","لا",">= 02","لا","< 5000"
"44.0","المدينة","مشروع","ناشيء","NULL","116000.0",">= 1000","2019/01","MALE","< 30","متزوج","لا","< 02","لا","< 5000"
"45.0","المدينة","إجتماعي","أسرة","NULL","60000.0",">= 1000","2019/01","FEMALE",">= 40","أرمل","لا",">= 05","لا",">= 7500"
"46.0","المدينة","إجتماعي","أسرة","NULL","60000.0",">= 1000","2019/01","FEMALE",">= 40","أرمل","لا",">= 05","لا","< 5000"
"47.0","المدينة","إجتماعي","زواج","موظف حكومي","60000.0",">= 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","نعم",">= 7500"
"48.0","الخرج","إجتماعي","ترميم","NULL","60000.0","< 1000","2019/03","MALE","< 30","أعزب","لا",">= 05","لا",">= 7500"
"49.0","الخرج","إجتماعي","ترميم","NULL","60000.0","< 1000","2019/03","MALE","< 30","أعزب","لا",">= 05","لا","< 5000"
"50.0","الرياض","إجتماعي","زواج","موظف حكومي","30000.0","< 1000","2019/03","MALE","< 30","متزوج","لا",">= 05","لا",">= 5000"
"51.0","المدينة","إجتماعي","أسرة","موظف قطاع خاص","60000.0",">= 1000","2019/01","MALE",">= 30","متزوج","لا",">= 02","لا","< 5000"
"52.0","المدينة","إجتماعي","أسرة","موظف قطاع خاص","60000.0",">= 1000","2019/01","MALE",">= 30","متزوج","لا",">= 02","لا",">= 10000"
"53.0","حائل","إجتماعي","زواج","موظف قطاع خاص","60000.0",">= 1000","2019/03","MALE",">= 30","متزوج","لا",">= 02","لا",">= 5000"
"54.0","حائل","إجتماعي","زواج","موظف قطاع خاص","60000.0",">= 1000","2019/03","MALE",">= 30","متزوج","لا",">= 02","لا",">= 5000"
"55.0","الخرج","إجتماعي","زواج","موظف حكومي","60000.0",">= 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا",">= 7500"
"56.0","الطائف","إجتماعي","زواج","موظف حكومي","36000.0","< 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا",">= 5000"
"57.0","الطائف","مشروع","ناشيء","NULL","152000.0",">= 1000","2019/01","FEMALE",">= 30","أعزب","لا","< 02","لا","< 5000"
"58.0","الطائف","إجتماعي","أسرة","NULL","60000.0",">= 1000","2019/02","FEMALE","< 30","أرمل","لا",">= 02","لا","< 5000"
"59.0","الطائف","إجتماعي","أسرة","NULL","60000.0",">= 1000","2019/02","FEMALE","< 30","أرمل","لا",">= 02","لا","< 5000"
"60.0","الخرج","إجتماعي","أسرة","موظف حكومي","60000.0",">= 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا","< 5000"
"61.0","تبوك","إجتماعي","زواج","موظف حكومي","60000.0","< 1000","2019/03","MALE","< 30","متزوج","لا",">= 02","لا",">= 7500"
"62.0","تبوك","إجتماعي","زواج","موظف حكومي","60000.0",">= 1000","2019/02","MALE","< 30","متزوج","لا",">= 10","نعم",">= 10000"
"63.0","الرياض","إجتماعي","أسرة","موظف حكومي","60000.0",">= 1000","2019/02","MALE",">= 30","متزوج","لا",">= 05","لا",">= 10000"
"64.0","حائل","إجتماعي","زواج","موظف حكومي","60000.0",">= 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا",">= 5000"
"65.0","جدة","إجتماعي","زواج","موظف حكومي","60000.0",">= 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا",">= 7500"
"66.0","الطائف","إجتماعي","زواج","موظف قطاع خاص","42000.0","< 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا","< 5000"
"67.0","الطائف","إجتماعي","زواج","موظف قطاع خاص","42000.0","< 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا",">= 10000"
"68.0","الطائف","إجتماعي","أسرة","موظف حكومي","60000.0",">= 1000","2019/02","MALE",">= 30","متزوج","لا",">= 05","نعم",">= 7500"
"69.0","حائل","إجتماعي","زواج","موظف حكومي","30000.0","< 1000","2019/02","MALE",">= 30","متزوج","لا",">= 02","نعم",">= 10000"
"70.0","جدة","إجتماعي","زواج","موظف قطاع خاص","42000.0","< 1000","2019/01","MALE","< 30","متزوج","لا",">= 10","نعم",">= 10000"
"71.0","جدة","إجتماعي","زواج","موظف قطاع خاص","42000.0","< 1000","2019/01","MALE","< 30","متزوج","لا",">= 10","نعم",">= 10000"
"72.0","حائل","إجتماعي","زواج","موظف حكومي","48000.0","< 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا",">= 7500"
"73.0","حائل","إجتماعي","أسرة","موظف قطاع خاص","42000.0","< 1000","2019/03","MALE","< 30","متزوج","لا",">= 02","لا","< 5000"
"74.0","حائل","إجتماعي","أسرة","موظف قطاع خاص","42000.0","< 1000","2019/03","MALE","< 30","متزوج","لا",">= 02","لا","< 5000"
"75.0","المدينة","إجتماعي","زواج","موظف حكومي","60000.0",">= 1000","2019/01","MALE",">= 30","متزوج","لا",">= 02","لا",">= 7500"
"76.0","المدينة","إجتماعي","زواج","موظف حكومي","60000.0",">= 1000","2019/03","MALE",">= 30","متزوج","لا",">= 02","لا",">= 7500"
"77.0","تبوك","إجتماعي","زواج","موظف حكومي","54000.0","< 1000","2019/03","MALE",">= 30","متزوج","لا",">= 02","لا",">= 7500"
"78.0","جدة","مشروع","ناشيء","NULL","204000.0",">= 1000","2019/01","MALE",">= 30","متزوج","لا",">= 02","لا","< 5000"
"79.0","الطائف","إجتماعي","زواج","موظف حكومي","60000.0",">= 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا",">= 7500"
"80.0","الخرج","إجتماعي","أسرة","NULL","60000.0",">= 1000","2019/02","FEMALE",">= 40","أرمل","لا",">= 05","لا",">= 10000"
"81.0","الخرج","إجتماعي","أسرة","NULL","60000.0",">= 1000","2019/02","FEMALE",">= 40","أرمل","لا",">= 05","لا","< 5000"
"82.0","حائل","مشروع","ناشيء","NULL","184000.0",">= 1000","2019/01","MALE",">= 30","أعزب","لا","< 02","لا","< 5000"
"83.0","الخرج","إجتماعي","أسرة","متقاعد حكومي","60000.0",">= 1000","2019/01","MALE",">= 60","متزوج","لا",">= 02","لا",">= 10000"
"84.0","الخرج","إجتماعي","أسرة","متقاعد حكومي","60000.0",">= 1000","2019/01","MALE",">= 60","متزوج","لا",">= 02","لا","< 5000"
"85.0","حائل","مشروع","ناشيء","NULL","208000.0",">= 1000","2019/01","FEMALE",">= 40","متزوج","لا","< 02","لا","< 5000"
"86.0","الطائف","إجتماعي","زواج","موظف حكومي","18000.0","< 1000","2019/02","MALE",">= 30","متزوج","لا",">= 02","لا",">= 7500"
"87.0","الخرج","إجتماعي","زواج","موظف شركة حكومية","60000.0","< 1000","2019/03","MALE",">= 30","متزوج","لا",">= 02","لا",">= 7500"
"88.0","جدة","إجتماعي","أسرة","موظف قطاع خاص","60000.0",">= 1000","2019/01","MALE",">= 30","متزوج","لا",">= 02","لا",">= 10000"
"89.0","جدة","إجتماعي","أسرة","موظف قطاع خاص","60000.0",">= 1000","2019/01","MALE",">= 30","متزوج","لا",">= 02","لا",">= 5000"
"90.0","الرياض","مشروع","ناشيء","NULL","213000.0",">= 1000","2019/03","MALE",">= 30","أعزب","لا","< 02","لا","< 5000"
"91.0","الطائف","إجتماعي","أسرة","موظف حكومي","60000.0",">= 1000","2019/01","MALE",">= 40","متزوج","لا",">= 05","لا",">= 10000"
"92.0","الطائف","إجتماعي","أسرة","متقاعد حكومي","60000.0",">= 1000","2019/03","MALE",">= 40","متزوج","لا",">= 05","لا",">= 10000"
"93.0","الطائف","إجتماعي","أسرة","متقاعد حكومي","60000.0",">= 1000","2019/03","MALE",">= 40","متزوج","لا",">= 05","لا","< 5000"
"94.0","الطائف","إجتماعي","أسرة","NULL","60000.0",">= 1000","2019/02","FEMALE",">= 30","مطلق","لا",">= 02","نعم",">= 10000"
"95.0","الطائف","إجتماعي","أسرة","NULL","60000.0",">= 1000","2019/02","FEMALE",">= 30","مطلق","لا",">= 02","نعم","< 5000"
"96.0","جدة","إجتماعي","زواج","موظف قطاع خاص","42000.0","< 1000","2019/01","MALE","< 30","متزوج","لا",">= 10","لا",">= 10000"
"97.0","جدة","إجتماعي","زواج","موظف قطاع خاص","42000.0","< 1000","2019/01","MALE","< 30","متزوج","لا",">= 10","لا","< 5000"
"98.0","الرياض","إجتماعي","زواج","موظف حكومي","48000.0","< 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","نعم",">= 7500"
"99.0","جدة","مشروع","ناشيء","NULL","200000.0",">= 1000","2019/03","MALE","< 30","أعزب","لا","< 02","لا","< 5000"
"100.0","الطائف","إجتماعي","أسرة","متقاعد حكومي","60000.0",">= 1000","2019/01","MALE",">= 40","متزوج","لا",">= 02","لا",">= 5000"
"101.0","الطائف","إجتماعي","أسرة","متقاعد حكومي","60000.0",">= 1000","2019/01","MALE",">= 40","متزوج","لا",">= 02","لا",">= 10000"
"102.0","حائل","إجتماعي","أسرة","NULL","60000.0",">= 1000","2019/02","FEMALE","< 30","مطلق","لا",">= 02","لا",">= 7500"
"103.0","حائل","إجتماعي","أسرة","NULL","60000.0",">= 1000","2019/02","FEMALE","< 30","مطلق","لا",">= 02","لا","< 5000"
"104.0","جدة","إجتماعي","أسرة","NULL","60000.0","< 1000","2019/01","FEMALE",">= 40","مطلق","لا",">= 02","لا","< 5000"
"105.0","جدة","إجتماعي","أسرة","NULL","60000.0","< 1000","2019/01","FEMALE",">= 40","مطلق","لا",">= 02","لا",">= 7500"
"106.0","حائل","إجتماعي","زواج","موظف قطاع خاص","60000.0",">= 1000","2019/02","MALE",">= 30","متزوج","لا",">= 02","لا","< 5000"
"107.0","حائل","إجتماعي","زواج","موظف قطاع خاص","60000.0",">= 1000","2019/02","MALE",">= 30","متزوج","لا",">= 02","لا",">= 10000"
"108.0","الطائف","إجتماعي","أسرة","متقاعد حكومي","60000.0",">= 1000","2019/02","MALE",">= 40","متزوج","لا",">= 05","لا",">= 7500"
"109.0","حائل","إجتماعي","زواج","موظف حكومي","60000.0",">= 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا",">= 7500"
"110.0","حائل","إجتماعي","زواج","موظف حكومي","60000.0",">= 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","نعم",">= 10000"
"111.0","الطائف","إجتماعي","أسرة","NULL","60000.0",">= 1000","2019/02","FEMALE",">= 60","أرمل","لا",">= 02","لا","< 5000"
"112.0","الطائف","إجتماعي","أسرة","NULL","60000.0",">= 1000","2019/02","FEMALE",">= 60","أرمل","لا",">= 02","لا",">= 5000"
"113.0","الطائف","إجتماعي","أسرة","متقاعد حكومي","60000.0",">= 1000","2019/02","MALE",">= 40","متزوج","لا",">= 05","لا","< 5000"
"114.0","حائل","إجتماعي","زواج","موظف حكومي","60000.0",">= 1000","2019/01","MALE",">= 30","متزوج","لا",">= 02","نعم",">= 7500"
"115.0","الطائف","إجتماعي","زواج","موظف قطاع خاص","60000.0",">= 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا",">= 10000"
"116.0","الطائف","إجتماعي","زواج","موظف قطاع خاص","60000.0",">= 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا","< 5000"
"117.0","الطائف","إجتماعي","زواج","موظف حكومي","24000.0","< 1000","2019/02","MALE",">= 30","متزوج","لا",">= 02","لا",">= 7500"
"118.0","حائل","إجتماعي","زواج","موظف قطاع خاص","60000.0","< 1000","2019/01","MALE",">= 30","متزوج","لا",">= 02","لا","< 5000"
"119.0","حائل","إجتماعي","زواج","موظف قطاع خاص","60000.0","< 1000","2019/01","MALE",">= 30","متزوج","لا",">= 02","لا",">= 10000"
"120.0","حائل","إجتماعي","أسرة","NULL","60000.0",">= 1000","2019/02","FEMALE","< 30","مطلق","لا",">= 02","لا","< 5000"
"121.0","حائل","إجتماعي","أسرة","NULL","60000.0",">= 1000","2019/02","FEMALE","< 30","مطلق","لا",">= 02","لا","< 5000"
"122.0","الطائف","إجتماعي","زواج","موظف حكومي","48000.0","< 1000","2019/03","MALE","< 30","متزوج","لا",">= 02","لا",">= 7500"
"123.0","حائل","إجتماعي","زواج","موظف حكومي","18000.0","< 1000","2019/02","MALE",">= 30","متزوج","لا",">= 02","لا",">= 10000"
"124.0","الطائف","مشروع","ناشيء","NULL","198000.0",">= 1000","2019/03","FEMALE",">= 30","متزوج","لا","< 02","لا","< 5000"
"125.0","حائل","مشروع","ناشيء","NULL","182000.0",">= 1000","2019/02","MALE","< 30","أعزب","لا","< 02","لا","< 5000"
"126.0","الطائف","إجتماعي","زواج","موظف حكومي","60000.0",">= 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا","< 5000"
"127.0","الطائف","إجتماعي","زواج","موظف قطاع خاص","60000.0",">= 1000","2019/02","MALE",">= 30","متزوج","لا",">= 02","لا",">= 10000"
"128.0","الطائف","إجتماعي","زواج","موظف قطاع خاص","60000.0",">= 1000","2019/02","MALE",">= 30","متزوج","لا",">= 02","لا",">= 5000"
"129.0","حائل","إجتماعي","أسرة","NULL","60000.0",">= 1000","2019/02","MALE",">= 30","متزوج","لا",">= 05","لا","< 5000"
"130.0","حائل","إجتماعي","أسرة","NULL","60000.0",">= 1000","2019/02","MALE",">= 30","متزوج","لا",">= 05","لا",">= 5000"
"131.0","حائل","إجتماعي","زواج","موظف حكومي","60000.0",">= 1000","2019/02","MALE",">= 30","متزوج","لا",">= 02","لا",">= 5000"
"132.0","حائل","إجتماعي","أسرة","NULL","60000.0",">= 1000","2019/01","FEMALE",">= 30","أرمل","لا",">= 05","لا",">= 10000"
"133.0","حائل","إجتماعي","أسرة","NULL","60000.0",">= 1000","2019/01","FEMALE",">= 30","أرمل","لا",">= 05","لا","< 5000"
"134.0","جدة","إجتماعي","أسرة","موظف قطاع خاص","60000.0",">= 1000","2019/01","MALE","< 30","متزوج","لا",">= 02","لا",">= 10000"
"135.0","جدة","إجتماعي","أسرة","موظف قطاع خاص","60000.0",">= 1000","2019/01","MALE","< 30","متزوج","لا",">= 02","لا","< 5000"
"136.0","الطائف","مشروع","ناشيء","NULL","167000.0",">= 1000","2019/03","FEMALE","< 30","أعزب","لا","< 02","لا","< 5000"
"137.0","حائل","إجتماعي","زواج","موظف حكومي","18000.0","< 1000","2019/02","MALE",">= 30","متزوج","لا",">= 02","لا",">= 5000"
"138.0","الطائف","إجتماعي","زواج","NULL","60000.0",">= 1000","2019/03","MALE","< 30","متزوج","لا",">= 02","لا",">= 7500"
"139.0","الطائف","إجتماعي","زواج","NULL","60000.0",">= 1000","2019/03","MALE","< 30","متزوج","لا",">= 02","لا","< 5000"
"140.0","حائل","إجتماعي","أسرة","موظف حكومي","60000.0",">= 1000","2019/01","MALE",">= 40","متزوج","لا",">= 05","لا",">= 7500"
"141.0","الرياض","إجتماعي","أسرة","موظف قطاع خاص","60000.0",">= 1000","2019/03","MALE",">= 40","متزوج","لا",">= 02","لا",">= 5000"
"142.0","الرياض","إجتماعي","أسرة","موظف قطاع خاص","60000.0",">= 1000","2019/03","MALE",">= 40","متزوج","لا",">= 02","لا",">= 10000"
"143.0","الطائف","مشروع","ناشيء","NULL","109000.0",">= 1000","2019/01","FEMALE","< 30","متزوج","لا","< 02","لا","< 5000"
"144.0","تبوك","إجتماعي","ترميم","NULL","60000.0","< 1000","2019/03","FEMALE",">= 30","متزوج","لا","< 02","لا","< 5000"
"145.0","تبوك","إجتماعي","ترميم","NULL","60000.0","< 1000","2019/03","FEMALE",">= 30","متزوج","لا","< 02","لا",">= 10000"
"146.0","الطائف","إجتماعي","زواج","NULL","60000.0",">= 1000","2019/01","MALE",">= 30","متزوج","لا",">= 02","لا","< 5000"
"147.0","الطائف","إجتماعي","زواج","NULL","60000.0",">= 1000","2019/01","MALE",">= 30","متزوج","لا",">= 02","لا",">= 10000"
"148.0","حائل","نقل","أجرة","NULL","77360.0",">= 1000","2019/02","MALE","< 30","أعزب","لا","< 02","لا",">= 7500"
"149.0","حائل","نقل","أجرة","NULL","77360.0",">= 1000","2019/02","MALE","< 30","أعزب","لا","< 02","لا","< 5000"
"150.0","حائل","مشروع","ناشيء","NULL","140000.0",">= 1000","2019/02","FEMALE",">= 30","أعزب","لا","< 02","لا","< 5000"
"151.0","حائل","إجتماعي","زواج","موظف حكومي","60000.0",">= 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا","< 5000"
"152.0","الطائف","إجتماعي","زواج","موظف قطاع خاص","42000.0","< 1000","2019/01","MALE","< 30","متزوج","نعم",">= 02","لا",">= 10000"
"153.0","الطائف","إجتماعي","زواج","موظف قطاع خاص","42000.0","< 1000","2019/01","MALE","< 30","متزوج","نعم",">= 02","لا","< 5000"
"154.0","حائل","إجتماعي","زواج","موظف قطاع خاص","30000.0","< 1000","2019/01","MALE",">= 30","متزوج","لا",">= 02","لا","< 5000"
"155.0","حائل","إجتماعي","زواج","موظف قطاع خاص","30000.0","< 1000","2019/01","MALE",">= 30","متزوج","لا",">= 02","لا",">= 7500"
"156.0","الطائف","مشروع","ناشيء","NULL","243000.0",">= 1000","2019/02","MALE",">= 40","متزوج","لا","< 02","لا","< 5000"
"157.0","حائل","إجتماعي","زواج","موظف قطاع خاص","60000.0",">= 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا",">= 10000"
"158.0","حائل","إجتماعي","زواج","موظف قطاع خاص","60000.0",">= 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا","< 5000"
"159.0","الطائف","إجتماعي","أسرة","متقاعد حكومي","60000.0",">= 1000","2019/02","MALE",">= 60","متزوج","لا",">= 05","لا",">= 10000"
"160.0","الطائف","إجتماعي","أسرة","متقاعد حكومي","60000.0",">= 1000","2019/02","MALE",">= 60","متزوج","لا",">= 05","لا",">= 7500"
"161.0","الطائف","إجتماعي","أسرة","NULL","60000.0",">= 1000","2019/02","MALE",">= 40","متزوج","لا",">= 05","لا",">= 10000"
"162.0","الطائف","إجتماعي","أسرة","NULL","60000.0",">= 1000","2019/02","MALE",">= 40","متزوج","لا",">= 05","لا","< 5000"
"163.0","حائل","إجتماعي","زواج","موظف حكومي","18000.0","< 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا",">= 10000"
"164.0","الطائف","إجتماعي","أسرة","NULL","54000.0","< 1000","2019/02","MALE",">= 30","متزوج","لا",">= 02","لا",">= 7500"
"165.0","الطائف","إجتماعي","أسرة","NULL","54000.0","< 1000","2019/02","MALE",">= 30","متزوج","لا",">= 02","لا","< 5000"
"166.0","حائل","إجتماعي","زواج","موظف حكومي","60000.0","< 1000","2019/03","MALE","< 30","متزوج","لا",">= 02","لا","< 5000"
"167.0","حائل","إجتماعي","زواج","موظف قطاع خاص","60000.0",">= 1000","2019/01","MALE","< 30","متزوج","لا",">= 02","لا",">= 7500"
"168.0","حائل","إجتماعي","زواج","موظف قطاع خاص","60000.0",">= 1000","2019/01","MALE","< 30","متزوج","لا",">= 02","لا",">= 7500"
"169.0","حائل","مشروع","ناشيء","NULL","172000.0",">= 1000","2019/01","FEMALE","< 30","أعزب","لا","< 02","لا","< 5000"
"170.0","حائل","إجتماعي","زواج","موظف حكومي","60000.0",">= 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا",">= 7500"
"171.0","حائل","إجتماعي","زواج","موظف قطاع خاص","60000.0",">= 1000","2019/01","MALE",">= 30","متزوج","لا",">= 02","لا",">= 5000"
"172.0","حائل","إجتماعي","زواج","موظف قطاع خاص","60000.0",">= 1000","2019/01","MALE",">= 30","متزوج","لا",">= 02","لا",">= 10000"
"173.0","حائل","مشروع","حل","NULL","102000.0",">= 1000","2019/02","MALE","< 30","أعزب","لا","< 02","لا","< 5000"
"174.0","حائل","إجتماعي","زواج","موظف حكومي","30000.0","< 1000","2019/03","MALE","< 30","متزوج","لا",">= 02","لا",">= 7500"
"175.0","حائل","مشروع","ناشيء","NULL","115000.0",">= 1000","2019/02","MALE","< 30","أعزب","لا","< 02","لا","< 5000"
"176.0","حائل","إجتماعي","زواج","موظف حكومي","60000.0",">= 1000","2019/01","MALE","< 30","متزوج","نعم",">= 02","لا",">= 7500"
"177.0","حائل","إجتماعي","زواج","موظف حكومي","60000.0",">= 1000","2019/01","MALE","< 30","متزوج","لا",">= 02","لا",">= 5000"
"178.0","حائل","إجتماعي","زواج","موظف حكومي","60000.0","< 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا",">= 7500"
"179.0","حائل","مشروع","ناشيء","NULL","100000.0",">= 1000","2019/01","MALE","< 30","أعزب","لا","< 02","لا","< 5000"
"180.0","حائل","إجتماعي","زواج","NULL","60000.0",">= 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا",">= 7500"
"181.0","حائل","إجتماعي","زواج","NULL","60000.0",">= 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا","< 5000"
